repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
LCAV/pyroomacoustics,https://github.com/LCAV/pyroomacoustics,Pyroomacoustics is a package for audio signal processing for indoor applications. It was developed as a fast prototyping platform for beamforming algorithms in indoor scenarios.,Python,1896,488,2026-06-26T02:53:31Z,86,273,True,True,2026-06-26,46,91,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","library terms: package, processing | package manifest | tests present | adoption 34.0 | API surface 273 | source active 12d | library score 46 | tests | examples | docs"
birdnet-team/BirdNET-Analyzer,https://github.com/birdnet-team/BirdNET-Analyzer,BirdNET analyzer for scientific audio data processing.,Python,1627,280,2026-07-07T14:23:57Z,61,247,True,True,2026-07-06,46,88,True,True,True,False,0,False,"no AGENTS.md, no CHANGELOG detected, large composable API surface",library terms: processing | domain terms: scientific | package manifest | tests present | adoption 30.3 | API surface 247 | source active 1d | library score 46 | tests | examples | docs
whitphx/streamlit-webrtc,https://github.com/whitphx/streamlit-webrtc,Real-time video and audio processing on Streamlit,Python,1708,221,2026-07-07T16:34:54Z,42,174,True,True,2026-06-30,46,86,True,True,True,True,0,False,large composable API surface,library terms: processing | domain terms: streaming | package manifest | tests present | adoption 28.1 | API surface 174 | source active 7d | library score 46 | tests | examples | docs
pytorch/audio,https://github.com/pytorch/audio,"Data manipulation and transformation for audio signal processing, powered by PyTorch",Python,2898,783,2026-07-07T12:20:32Z,90,125,True,True,2026-01-26,36,82,True,True,True,False,0,False,"no AGENTS.md, no CHANGELOG detected, large composable API surface","library terms: processing, format | package manifest | adoption 35.0 | API surface 125 | source active 162d | library score 36 | tests | examples | docs"
modelscope/ClearerVoice-Studio,https://github.com/modelscope/ClearerVoice-Studio,"An AI-Powered Speech Processing Toolkit and Open Source SOTA Pretrained Models, Supporting Speech Enhancement, Separation, and Target Speaker Extraction, etc.",Python,4285,351,2025-08-14T08:26:31Z,248,359,True,True,2025-08-14,36,78,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: toolkit, processing | package manifest | adoption 35.0 | API surface 359 | source active 327d | library score 36 | tests | docs"
KinWaiCheuk/nnAudio,https://github.com/KinWaiCheuk/nnAudio,Audio processing by using pytorch 1D convolution network,Python,1128,97,2026-05-21T00:17:23Z,14,79,True,True,2025-12-07,38,59,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, large composable API surface",library terms: processing | package manifest | tests present | adoption 16.1 | API surface 79 | source active 212d | library score 38 | tests | docs
mir-evaluation/mir_eval,https://github.com/mir-evaluation/mir_eval,Evaluation functions for music/audio information retrieval/signal processing algorithms.,Python,706,119,2026-02-19T21:07:16Z,21,184,True,True,2026-02-19,46,57,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: processing, format | package manifest | tests present | adoption 13.0 | API surface 184 | source active 138d | library score 46 | tests | docs"
groupmm/libfmp,https://github.com/groupmm/libfmp,A Python package for teaching and learning Fundamentals of Music Processing (FMP),Python,223,20,2026-05-26T17:37:59Z,54,195,True,True,2026-03-14,36,46,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface","library terms: package, processing | package manifest | adoption 3.2 | API surface 195 | source active 115d | library score 36 | tests | docs"
