repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
TorchIO-project/torchio,https://github.com/TorchIO-project/torchio,Medical imaging processing for AI applications.,Python,2418,270,2026-07-06T22:26:19Z,86,228,True,True,2026-06-24,38,90,True,True,True,False,0,False,"no AGENTS.md, no CHANGELOG detected, large composable API surface",library terms: processing | package manifest | tests present | adoption 33.5 | API surface 228 | source active 13d | library score 38 | tests | examples | docs
dipy/dipy,https://github.com/dipy/dipy,"DIPY is the paragon 3D/4D+ medical imaging library in Python. Contains generic methods for spatial normalization, signal processing, machine learning, statistical analysis and visualization of medical images. Additionall",Python,831,503,2026-07-06T18:42:47Z,199,400,True,True,2026-07-01,70,84,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","library terms: library, processing, graph | domain terms: spatial, graph | package manifest | tests present | adoption 23.3 | API surface 400 | source active 6d | library score 70 | tests | examples | docs"
invesalius/invesalius3,https://github.com/invesalius/invesalius3,3D medical imaging reconstruction software,Python,797,435,2026-07-08T03:55:33Z,150,619,True,True,2026-07-06,54,78,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, large composable API surface","library terms: processing, graph | domain terms: graph | package manifest | tests present | adoption 23.0 | API surface 619 | source active 1d | library score 54 | tests | docs"
ANTsX/ANTsPy,https://github.com/ANTsX/ANTsPy,"A fast medical imaging analysis library in Python with algorithms for registration, segmentation, and more.",Python,878,179,2026-06-17T19:40:40Z,117,198,True,True,2026-05-23,38,65,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface",library terms: library | package manifest | tests present | adoption 17.7 | API surface 198 | source active 45d | library score 38 | tests | docs
kaapana/kaapana,https://github.com/kaapana/kaapana,Kaapana is an open source toolkit for state of the art platform provisioning in the field of medical data analysis. The applications comprise AI-based workflows and federated learning scenarios with a focus on radiologic,Python,266,65,2026-07-08T01:09:05Z,551,154,True,True,2026-06-18,46,63,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: toolkit, processing | package manifest | tests present | adoption 5.9 | API surface 154 | source active 19d | library score 46 | tests | examples | docs"
jrkerns/pylinac,https://github.com/jrkerns/pylinac,An image analysis library for medical physics,Python,198,125,2026-06-25T13:20:46Z,74,617,True,True,2026-06-10,44,61,True,False,True,True,0,False,"few/no examples, large composable API surface","library terms: library, processing | domain terms: physics | package manifest | adoption 8.2 | API surface 617 | source active 27d | library score 44 | tests | docs"
pyplati/platipy,https://github.com/pyplati/platipy,Processing Library and Analysis Toolkit for Medical Imaging in Python,Python,151,31,2026-05-20T16:01:08Z,90,152,True,True,2026-03-14,54,53,True,True,True,False,0,False,"no AGENTS.md, no CHANGELOG detected, large composable API surface","library terms: library, toolkit, processing | package manifest | tests present | adoption 3.1 | API surface 152 | source active 115d | library score 54 | tests | examples | docs"
