repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
lessthanoptimal/BoofCV,https://github.com/lessthanoptimal/BoofCV,"Fast computer vision library for SFM, calibration, fiducials, tracking,  image processing, and more.",Java,1181,270,2026-07-03T04:40:30Z,2517,150,True,True,2026-07-03,36,81,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: library, processing | package manifest | adoption 25.3 | API surface 150 | source active 5d | library score 36 | tests | examples | docs"
sksamuel/scrimage,https://github.com/sksamuel/scrimage,"JVM - Java, Kotlin, Scala image processing library",Java,1183,146,2026-07-08T05:16:08Z,422,366,True,True,2026-06-22,36,75,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, large composable API surface","library terms: library, processing | package manifest | adoption 19.1 | API surface 366 | source active 15d | library score 36 | tests | examples | docs"
imagej/ImageJ,https://github.com/imagej/ImageJ,Public domain software for processing and analyzing scientific images,Java,769,259,2026-06-23T04:21:48Z,355,1123,True,True,2026-06-23,46,74,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface",library terms: processing | domain terms: scientific | package manifest | tests present | adoption 20.6 | API surface 1123 | source active 15d | library score 46 | tests | docs
eszdman/PhotonCamera,https://github.com/eszdman/PhotonCamera,Android Camera that uses Enhanced image processing,Java,1057,104,2026-04-18T09:45:00Z,302,215,True,True,2026-04-17,52,65,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: api, processing, graph | domain terms: graph | package manifest | adoption 15.8 | API surface 215 | source active 81d | library score 52 | tests | docs"
imglib/imglib2,https://github.com/imglib/imglib2,A generic next-generation Java library for image processing,Java,320,92,2026-02-05T21:28:14Z,622,258,True,True,2025-12-16,46,52,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, large composable API surface","library terms: library, processing | package manifest | tests present | adoption 7.8 | API surface 258 | source active 203d | library score 46 | tests | docs"
