repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,A deep learning package for many-body potential energy representation and molecular dynamics,Python,1978,629,2026-07-07T20:15:28Z,855,252,True,True,2026-07-07,62,95,True,True,True,True,0,False,"no CHANGELOG detected, large composable API surface","library terms: package, modeling | domain terms: chemistry, materials | package manifest | tests present | adoption 34.8 | API surface 252 | source active 0d | library score 62 | tests | examples | docs"
MDAnalysis/mdanalysis,https://github.com/MDAnalysis/mdanalysis,MDAnalysis is a Python library to analyze molecular dynamics simulations.,Python,1609,843,2026-06-23T19:34:51Z,254,245,True,True,2026-06-23,54,86,True,False,True,False,0,False,"no AGENTS.md, few/no examples, large composable API surface","library terms: library, simulation | domain terms: chemistry | package manifest | tests present | adoption 31.1 | API surface 245 | source active 14d | library score 54 | tests | docs"
mdtraj/mdtraj,https://github.com/mdtraj/mdtraj,An open library for the analysis of molecular dynamics trajectories,Python,724,294,2026-07-07T23:17:08Z,90,487,True,True,2026-05-29,38,73,True,True,True,False,0,False,"no AGENTS.md, no CHANGELOG detected, large composable API surface",library terms: library | package manifest | tests present | adoption 21.9 | API surface 487 | source active 39d | library score 38 | tests | examples | docs
MDIL-SNU/SevenNet,https://github.com/MDIL-SNU/SevenNet,SevenNet - a graph neural network interatomic potential package supporting efficient multi-GPU parallel molecular dynamics simulations.,Python,256,55,2026-07-06T19:16:57Z,63,250,True,True,2026-06-22,62,61,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, large composable API surface","library terms: package, simulation, graph | domain terms: graph | package manifest | tests present | adoption 5.3 | API surface 250 | source active 15d | library score 62 | tests | docs"
torchmd/torchmd,https://github.com/torchmd/torchmd,End-To-End Molecular Dynamics (MD) Engine using PyTorch,Python,711,87,2026-04-21T09:58:09Z,18,104,True,True,2026-01-07,38,59,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface",library terms: engine | package manifest | tests present | adoption 11.5 | API surface 104 | source active 181d | library score 38 | tests | examples | docs
mqcomplab/MDANCE,https://github.com/mqcomplab/MDANCE,MDANCE: Hyper-efficient tools to process molecular dynamics simulations.,Python,147,14,2026-07-07T22:50:41Z,46,102,True,True,2026-07-07,38,58,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface",library terms: simulation | package manifest | tests present | adoption 2.2 | API surface 102 | source active 0d | library score 38 | tests | examples | docs
aai-research-lab/FastMDXplora,https://github.com/aai-research-lab/FastMDXplora,Software for automated molecular dynamics exploration,Python,115,19,2026-07-02T01:44:28Z,76,165,True,True,2026-07-02,38,58,True,True,True,False,0,False,"no AGENTS.md, large composable API surface",library terms: simulation | package manifest | tests present | adoption 2.1 | API surface 165 | source active 6d | library score 38 | tests | examples | docs
mushroomfire/mdapy,https://github.com/mushroomfire/mdapy,A simple and fast python library to handle the data generated from molecular dynamics simulations,Python,104,13,2026-06-12T11:52:33Z,56,195,True,True,2026-06-12,54,56,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: library, engine, simulation | package manifest | tests present | adoption 1.7 | API surface 195 | source active 25d | library score 54 | tests | docs"
ingcoder/unomd,https://github.com/ingcoder/unomd,Python package to run molecular dynamics simulation of a protein-ligand complex in a single line of code.,Python,182,37,2025-09-19T23:36:27Z,21,82,True,True,2025-07-17,46,52,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: package, simulation | package manifest | tests present | adoption 3.7 | API surface 82 | source active 355d | library score 46 | tests | examples | docs"
