repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
lessthanoptimal/BoofCV,https://github.com/lessthanoptimal/BoofCV,"Fast computer vision library for SFM, calibration, fiducials, tracking,  image processing, and more.",Java,1181,270,2026-07-03T04:40:30Z,2517,150,True,True,2026-07-03,36,81,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: library, processing | package manifest | adoption 25.3 | API surface 150 | source active 5d | library score 36 | tests | examples | docs"
cansik/deep-vision-processing,https://github.com/cansik/deep-vision-processing,Deep computer-vision algorithms for the Processing framework.,Java,105,23,2026-01-09T12:48:28Z,60,243,True,True,2026-01-09,44,50,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: framework, engine, processing | package manifest | adoption 2.2 | API surface 243 | source active 179d | library score 44 | tests | examples | docs"
