repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
PennyLaneAI/pennylane,https://github.com/PennyLaneAI/pennylane,"PennyLane is an open-source quantum software platform for quantum computing, quantum machine learning, and quantum chemistry. Create meaningful quantum algorithms, from inspiration to implementation.",Python,3291,823,2026-07-08T03:41:14Z,710,255,True,True,2026-07-08,54,90,True,False,True,False,0,False,"no AGENTS.md, few/no examples, large composable API surface","library terms: optimization | domain terms: optimization, chemistry | package manifest | tests present | adoption 35.0 | API surface 255 | source active 0d | library score 54 | tests | docs"
TeamGraphix/graphix,https://github.com/TeamGraphix/graphix,measurement-based quantum computing (MBQC) library,Python,113,66,2026-07-07T14:17:55Z,54,575,True,True,2026-07-07,54,63,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","library terms: library, graph | domain terms: graph | package manifest | tests present | adoption 4.4 | API surface 575 | source active 0d | library score 54 | tests | examples | docs"
AgnostiqHQ/covalent,https://github.com/AgnostiqHQ/covalent,Pythonic tool for orchestrating machine-learning/high performance/quantum-computing workflows in heterogeneous compute environments.,Python,864,111,2026-05-25T17:01:38Z,212,191,True,True,2026-04-20,38,61,True,False,True,False,0,False,"no AGENTS.md, few/no examples, large composable API surface",library terms: pipeline | package manifest | tests present | adoption 14.2 | API surface 191 | source active 78d | library score 38 | tests | docs
quantumlib/ReCirq,https://github.com/quantumlib/ReCirq,Python modules for quantum computing applications and experiments using Cirq. Research using Cirq!,Python,308,130,2026-04-29T18:00:10Z,164,224,True,True,2026-04-29,48,58,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface","library terms: module, optimization, simulation | domain terms: optimization | app-ish terms: ui | package manifest | adoption 9.6 | API surface 224 | source active 69d | library score 48 | tests | docs"
lehner/gpt,https://github.com/lehner/gpt,"A Python toolkit for lattice field theory, quantum computing, and machine learning",Python,114,45,2026-07-07T12:16:29Z,427,262,True,True,2026-07-07,38,56,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface",library terms: toolkit | package manifest | tests present | adoption 3.4 | API surface 262 | source active 0d | library score 38 | tests | docs
MolSSI/QCFractal,https://github.com/MolSSI/QCFractal,A distributed compute and database platform for quantum chemistry. ,Python,164,55,2026-06-15T23:24:53Z,291,108,True,True,2026-06-15,36,56,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface","domain terms: chemistry, distributed | package manifest | adoption 4.4 | API surface 108 | source active 22d | library score 36 | tests | docs"
PennyLaneAI/pennylane-qiskit,https://github.com/PennyLaneAI/pennylane-qiskit,The PennyLane-Qiskit plugin integrates the Qiskit quantum computing framework and IBM Q with PennyLane.,Python,239,79,2026-06-30T20:47:04Z,13,62,True,True,2026-05-12,38,45,True,False,False,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, large composable API surface",library terms: framework | package manifest | tests present | adoption 6.3 | API surface 62 | source active 56d | library score 38 | tests
