repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
kairosdb/kairosdb,https://github.com/kairosdb/kairosdb,Fast scalable time series database,Java,1760,340,2026-03-05T22:27:54Z,361,247,True,True,2026-01-28,38,76,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface",domain terms: timeseries | package manifest | tests present | adoption 32.6 | API surface 247 | source active 160d | library score 38 | tests | docs
ScaleFree-Tech/yishape-math,https://github.com/ScaleFree-Tech/yishape-math,"YiShape-Math is a high-performance Java math library that provides NumPy-like functionalities including vector & matrix operations, data visualization, statistics, optimization, time series, signal processing, multi-crit",Java,265,15,2026-06-22T17:30:42Z,684,447,True,True,2026-06-22,60,63,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: library, optimization, processing | domain terms: vector, optimization | package manifest | adoption 3.4 | API surface 447 | source active 15d | library score 60 | tests | examples | docs"
binjr/binjr,https://github.com/binjr/binjr, A Time Series Browser,Java,368,30,2026-06-19T12:43:34Z,341,160,True,True,2026-05-29,36,52,True,False,True,False,0,False,"no AGENTS.md, few/no examples, large composable API surface",library terms: analytics | domain terms: analytics | package manifest | adoption 5.2 | API surface 160 | source active 39d | library score 36 | tests | docs
rrd4j/rrd4j,https://github.com/rrd4j/rrd4j,A high performance data logging and graphing system for time series data.,Java,271,73,2026-04-10T23:46:59Z,175,372,True,True,2026-01-03,44,50,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, large composable API surface","library terms: graph | domain terms: graph, timeseries | package manifest | adoption 6.4 | API surface 372 | source active 185d | library score 44 | tests | docs"
Breinify/brein-time-utilities,https://github.com/Breinify/brein-time-utilities,"Library which contains several time-dependent data and index structures (e.g., IntervalTree, BucketTimeSeries), as well as algorithms.",Java,132,17,2026-03-05T22:09:57Z,56,256,True,True,2026-03-05,44,46,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: library, index | domain terms: timeseries | package manifest | adoption 2.2 | API surface 256 | source active 124d | library score 44 | tests | docs"
