repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
PyJobShop/PyJobShop,https://github.com/PyJobShop/PyJobShop,Solve production scheduling problems with constraint programming in Python.,Python,143,24,2026-07-05T22:23:12Z,33,195,True,True,2026-06-26,46,60,True,True,True,False,0,False,"no AGENTS.md, no CHANGELOG detected, large composable API surface",library terms: optimization | domain terms: optimization | package manifest | tests present | adoption 2.6 | API surface 195 | source active 11d | library score 46 | tests | examples | docs
szeider/mcp-solver,https://github.com/szeider/mcp-solver,"Model Context Protocol (MCP) server for constraint optimization and solving""",Python,174,24,2025-09-13T07:48:43Z,53,239,True,True,2025-09-13,60,49,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, large composable API surface","library terms: optimization, protocol | domain terms: optimization, solver, protocol | app-ish terms: server | package manifest | tests present | adoption 2.9 | API surface 239 | source active 297d | library score 60 | tests | docs"
