repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
byjlw/video-analyzer,https://github.com/byjlw/video-analyzer,"Analyze videos using LLMs, Computer Vision and Automatic Speech Recognition",Python,1492,214,2026-04-19T19:29:05Z,24,73,True,True,2026-03-20,38,67,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface",library terms: processing | package manifest | tests present | adoption 25.6 | API surface 73 | source active 109d | library score 38 | tests | docs
istupakov/onnx-asr,https://github.com/istupakov/onnx-asr,A lightweight Python package for Automatic Speech Recognition using ONNX models,Python,341,31,2026-07-02T00:32:16Z,37,164,True,True,2026-07-01,38,61,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface",library terms: package | package manifest | tests present | adoption 5.0 | API surface 164 | source active 6d | library score 38 | tests | examples | docs
HumeAI/hume-python-sdk,https://github.com/HumeAI/hume-python-sdk,Python client for Hume AI,Python,177,46,2026-06-17T16:44:56Z,236,188,True,True,2026-06-17,46,57,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: sdk, client | package manifest | tests present | adoption 4.1 | API surface 188 | source active 20d | library score 46 | tests | docs"
shibing624/parrots,https://github.com/shibing624/parrots," Automatic Speech Recognition(ASR), Text-To-Speech(TTS) engine. 中英语音识别、多角色语音合成，支持多语言，准确率高",Python,525,94,2025-11-11T03:17:32Z,213,285,True,True,2025-11-11,38,57,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface",library terms: engine | package manifest | tests present | adoption 9.9 | API surface 285 | source active 239d | library score 38 | tests | examples | docs
