domain,rank,repo,language,stars,api,final_score,ready,url
cheminformatics,3,MLCIL/scikit-fingerprints,Python,377,117,65,yes,https://github.com/MLCIL/scikit-fingerprints
cheminformatics,4,chemosim-lab/ProLIF,Python,510,182,62,yes,https://github.com/chemosim-lab/ProLIF
cheminformatics,5,jvalegre/aqme,Python,129,199,61,yes,https://github.com/jvalegre/aqme
speech recognition,1,byjlw/video-analyzer,Python,1492,73,67,yes,https://github.com/byjlw/video-analyzer
speech recognition,2,istupakov/onnx-asr,Python,341,164,61,yes,https://github.com/istupakov/onnx-asr
speech recognition,3,HumeAI/hume-python-sdk,Python,177,188,57,yes,https://github.com/HumeAI/hume-python-sdk
speech recognition,4,shibing624/parrots,Python,525,285,57,yes,https://github.com/shibing624/parrots
constraint solver optimization,1,PyJobShop/PyJobShop,Python,143,195,60,yes,https://github.com/PyJobShop/PyJobShop
constraint solver optimization,2,szeider/mcp-solver,Python,174,239,49,yes,https://github.com/szeider/mcp-solver
time domain astronomy,1,skyportal/skyportal,Python,127,80,59,yes,https://github.com/skyportal/skyportal
3d mesh geometry,1,jimy-byerley/pymadcad,Python,294,835,54,yes,https://github.com/jimy-byerley/pymadcad
